Disease / condition	Agent type	Genus	Species / taxon	Agent / strain / subgroup	Coverage	Notes	Reference	Use	Link
Acute flaccid paralysis / acute flaccid myelitis	Virus	Enterovirus	Enterovirus C	Poliovirus types 1–3	Major infectious causes	AFP/AFM is a syndrome; other infectious and non-infectious causes occur.	ICTV Master Species List	Current virus taxonomy	https://ictv.global/msl
Acute flaccid paralysis / acute flaccid myelitis	Virus	Enterovirus	Enterovirus D	Enterovirus D68	Major infectious causes	Representative, not exhaustive.	NCBI Taxonomy	Organism names and synonyms	https://www.ncbi.nlm.nih.gov/taxonomy
Acute flaccid paralysis / acute flaccid myelitis	Virus	Enterovirus	Enterovirus A	Enterovirus A71	Major infectious causes	Representative, not exhaustive.	CDC Health Topics	Disease-agent cross-checks	https://www.cdc.gov/health-topics.html
Acute flaccid paralysis / acute flaccid myelitis	Virus	Orthoflavivirus	Orthoflavivirus nilense	West Nile virus	Major infectious causes	Representative, not exhaustive.	Australian CDC diseases	Australian disease-agent context	https://www.cdc.gov.au/topics/communicable-diseases
Acute infectious hepatitis (syndrome)	Virus	Hepatovirus	Hepatovirus A	Hepatitis A virus	Syndrome-level umbrella	May also be caused by hepatitis B, C, D or E viruses and other infections.	Workbook note	Taxonomy date	Checked 11 September 2026; virus taxon names may change between ICTV releases.
Acute infectious hepatitis (syndrome)	Virus	Orthohepadnavirus	Orthohepadnavirus hominoidei	Hepatitis B virus	Syndrome-level umbrella	Representative, not exhaustive.			
Acute infectious hepatitis (syndrome)	Virus	Hepacivirus	Hepacivirus hominis	Hepatitis C virus	Syndrome-level umbrella	Representative, not exhaustive.			
Acute infectious hepatitis (syndrome)	Virus	Deltavirus	—	Hepatitis D virus	Syndrome-level umbrella	Representative, not exhaustive.			
Acute infectious hepatitis (syndrome)	Virus	Paslahepevirus	Paslahepevirus balayani	Hepatitis E virus	Syndrome-level umbrella	Representative, not exhaustive.			
Acute meningitis / encephalitis	Bacterium	Neisseria	Neisseria meningitidis	Meningococcus	Major/representative cause	Syndrome with many bacterial, viral, fungal and parasitic causes.			
Acute meningitis / encephalitis	Bacterium	Streptococcus	Streptococcus pneumoniae	Pneumococcus	Major/representative cause	Representative, not exhaustive.			
Acute meningitis / encephalitis	Bacterium	Listeria	Listeria monocytogenes	L. monocytogenes	Major/representative cause	Representative, not exhaustive.			
Acute meningitis / encephalitis	Virus	Enterovirus	Multiple enterovirus species	Non-polio enteroviruses	Major/representative cause	Representative, not exhaustive.			
Acute meningitis / encephalitis	Virus	Simplexvirus	Human alphaherpesvirus 1 and 2	Herpes simplex virus 1/2	Major/representative cause	Representative, not exhaustive.			
Acute post-streptococcal glomerulonephritis	Bacterium	Streptococcus	Streptococcus pyogenes	Group A Streptococcus	Precipitating infection	Post-infectious immune-mediated disease.			
Acute rheumatic fever	Bacterium	Streptococcus	Streptococcus pyogenes	Group A Streptococcus	Precipitating infection	Immune-mediated sequela of infection.			
Adverse event following immunisation	Not applicable	—	—	No single causative organism	No organism	Surveillance category; events may be vaccine-related, coincidental or indeterminate.			
Amoebiasis	Parasite (protozoan)	Entamoeba	Entamoeba histolytica	E. histolytica	Established cause				
Amoebic meningitis	Parasite (free-living amoeba)	Naegleria	Naegleria fowleri	N. fowleri	Primary amoebic meningoencephalitis				
Amoebic meningitis	Parasite (free-living amoeba)	Acanthamoeba	Acanthamoeba spp.	Acanthamoeba species	Granulomatous amoebic encephalitis	Species may not be determined.			
Amoebic meningitis	Parasite (free-living amoeba)	Balamuthia	Balamuthia mandrillaris	B. mandrillaris	Granulomatous amoebic encephalitis				
Anaplasmosis	Bacterium	Anaplasma	Anaplasma phagocytophilum	A. phagocytophilum	Established cause				
Anthrax	Bacterium	Bacillus	Bacillus anthracis	B. anthracis	Established cause				
Asbestosis	Not applicable	—	—	Asbestos fibres	No organism	Occupational pneumoconiosis caused by mineral-fibre exposure.			
Australian bat lyssavirus infection	Virus	Lyssavirus	Australian bat lyssavirus	Australian bat lyssavirus (ABLV)	Established cause				
Avian influenza in humans	Virus	Alphainfluenzavirus	Influenza A virus	Avian influenza A viruses	Zoonotic strains	Includes reportable subtypes such as H5 and H7; subtype varies.			
Babesiosis	Parasite (protozoan)	Babesia	Babesia microti	B. microti	Major human cause	Especially in North America.			
Babesiosis	Parasite (protozoan)	Babesia	Babesia duncani	B. duncani	Human cause				
Babesiosis	Parasite (protozoan)	Babesia	Babesia divergens	B. divergens	Human cause	Especially in Europe.			
Barmah Forest virus infection	Virus	Alphavirus	Barmah Forest virus	Barmah Forest virus	Established cause				
Bat lyssavirus potential exposure	Virus	Lyssavirus	Australian bat lyssavirus	Australian bat lyssavirus	Exposure concern	Exposure category rather than confirmed disease; overseas exposures may involve rabies virus or other lyssaviruses.			
Botulism	Bacterium	Clostridium	Clostridium botulinum	Botulinum neurotoxin-producing C. botulinum	Primary cause	Illness is toxin-mediated.			
Botulism	Bacterium	Clostridium	Clostridium baratii	Toxigenic C. baratii	Rare cause	Can produce botulinum neurotoxin.			
Botulism	Bacterium	Clostridium	Clostridium butyricum	Toxigenic C. butyricum	Rare cause	Can produce botulinum neurotoxin.			
Brucellosis	Bacterium	Brucella	Brucella melitensis	B. melitensis	Major human cause				
Brucellosis	Bacterium	Brucella	Brucella abortus	B. abortus	Human cause				
Brucellosis	Bacterium	Brucella	Brucella suis	B. suis	Human cause				
Brucellosis	Bacterium	Brucella	Brucella canis	B. canis	Human cause				
Buruli ulcer (Mycobacterium ulcerans)	Bacterium	Mycobacterium	Mycobacterium ulcerans	M. ulcerans	Established cause				
Campylobacteriosis	Bacterium	Campylobacter	Campylobacter jejuni	C. jejuni	Major cause				
Campylobacteriosis	Bacterium	Campylobacter	Campylobacter coli	C. coli	Major cause	Other Campylobacter species can cause disease.			
Candida auris infection or colonisation	Fungus (yeast)	Candida	Candida auris	C. auris	Established cause	Also published under the newer combination Candidozyma auris.			
Carbapenemase-producing Enterobacterales/organisms	Bacterium	Klebsiella	Klebsiella pneumoniae	Carbapenemase-producing K. pneumoniae	Common representative	Resistance-mechanism category; many Enterobacterales species may qualify.			
Carbapenemase-producing Enterobacterales/organisms	Bacterium	Escherichia	Escherichia coli	Carbapenemase-producing E. coli	Common representative	Representative, not exhaustive.			
Carbapenemase-producing Enterobacterales/organisms	Bacterium	Enterobacter	Enterobacter cloacae complex	Carbapenemase-producing Enterobacter	Common representative	Representative, not exhaustive.			
Chancroid	Bacterium	Haemophilus	Haemophilus ducreyi	H. ducreyi	Established cause				
Chikungunya virus infection	Virus	Alphavirus	Chikungunya virus	Chikungunya virus	Established cause				
Chlamydial infection	Bacterium	Chlamydia	Chlamydia trachomatis	C. trachomatis	Established cause	Usually denotes sexually transmitted C. trachomatis infection in notification schedules.			
Cholera	Bacterium	Vibrio	Vibrio cholerae	Toxigenic V. cholerae O1 or O139	Epidemic cholera	Other V. cholerae serogroups can cause illness but not epidemic cholera.			
Ciguatera poisoning	Dinoflagellate toxin source	Gambierdiscus	Gambierdiscus spp.	Ciguatoxin-producing benthic dinoflagellates	Toxin source	Clinical illness is caused by ciguatoxins accumulated in reef fish; several genera/species may contribute.			
Coccidioidomycosis	Fungus	Coccidioides	Coccidioides immitis	C. immitis	Established cause				
